index,Autor principal,Año,Criterio Diagóstico Asociado,Tipo de estudio,País,Edad mínima,Edad máxima,N TOTAL,HOMBRES,MUJERES,Distribución proporcional de muestra,Análisis por género
1,Alder ML ,2022,CRR,EO,USA,2,8,32,24,8,NO,NO
2,Arkesteyn ,2021,CRR,AR,Bélgica,3,18,,,,NO,SI
3,Arnell  ,2022,CRR,EO,Suecia,12,16,12,8,4,NO,NO
4,Arnell ,2020,C+ISR+CRR,EO,Suecia,6,12,28,16,12,NO,NO
5,Arnell ,2018,CRR,EO,Suecia,12,16,24,17,7,NO,SI
6,Bassette ,2018,CRR,EO,USA,18,21,3,1,2,NO ,NO
7,Becerra ,2021,CRR,EO,USA,4,4,3,1,2,NO,NO
8,Bennett ,2022,CRR,EO,USA,13,18,34,24,10,SI,NO
9,Benson ,2019,CRR,EO,Canadá,18,35,32,23,9,NO,NO
10,Bishop ,2022,CRR,EO,USA,18,28,336,222,114,NO,NO
11,Blagrave ,2022,C+ISR+CRR,EO,USA,8,14,8,5,3,NO,NO
12,Bo ,2019,C+ISR+CRR,EO,China USA,8,12,9,9,0,NO,NO
13,Bremer ,2020,CRR,EO,Canadá,8,12,12,12,0,NO,NO
14,Bremer ,2020,CRR,EO,Canadá,6,13,202,158,44,NO,NO
15,Brown ,2020,CRR,EO,Canadá,4,17,201,161,39,NO,NO
16,Carey ,2022,CRR,EO,Irlanda UK,5,18,24,0,24,NO,NO
17,Chu,2020,CRR,EO,Taiwan,12,18,63,63,0,NO,NO
18,Columna ,2020,CRR,EO,USA,5,14,9,9,0,NO,NO
19,Dahlgren ,2021,CRR,EO,USA,9,18,176,138,38,SI,NO
20,Djordjević ,2022,CRR,AR,Serbia,3,17,,,,NO,NO
21,Esentürk ,2021,CRR,EO,Turquía,9,14,14,8,6,NO,NO
22,Esentürk,2020,CRR,EO,Turquía,9,16,10,5,5,SI,NO
23,Fiscella ,2021,C+ISR+CRR,EO,USA,6,17,15436,7898,7538,NO,NO
24,Garcia ,2020,CRR,EO,USA,8,16,14,12,2,NO,NO
25,Garcia-Pastor,2019,CRR,EO,España,7,48,78,56,22,NO,SI
26,Gehricke ,2020,CRR,EO,USA,6,11,375,304,71,NO,SI
27,Gehricke,2022,CRR,EO,USA,6,12,148,124,24,NO,SI
28,Haegele ,2021,CRR,EO,USA,13,17,36,10,26,SI,NO
29,Hamm & Yun,2019,C+ISR+CRR,EO,USA,18,35,320,138,177,NO,NO
30,Hamm & Yun,2018,CRR,EO,USA,18,35,143,92,50,NO,NO
31,Healy,2020,CRR,EO,USA,6,17,2791,2277,514,SI,SI
32,Healy ,2018,CRR,EO,USA,6,16,13,9,4,NO,NO
33,Healy ,2018,C+ISR+CRR,AR,USA,2,22,,,,NO,NO
34,Heffernan,2018,CRR,EO,USA,5,9,15,13,2,NO,NO
35,Helsel ,2022,CRR,EO,USA,11,17,20,12,8,NO,SI
36,Helsel ,2022,CRR,EO,USA,11,17,20,12,8,NO,SI
37,Hillier ,2020,CRR,EO,USA,18,27,30,27,3,SI,NO
38,Hocking ,2022,CRR,EO,Australia,10,17,10,9,1,NO,NO
39,Howells ,2019,C+ISR+CRR,AR,Australia,3,16,,,,NO,NO
40,Hynes,2022,C+ISR+CRR,AR,USA,5,22,,,,NO,NO
41,Jachyra ,2021,CRR,EO,Canadá,12,18,10,10,0,NO,NO
42,Jozkowski,2019,C+ISR+CRR,EO,USA,18,25,36,19,17,NO,NO
43,Ketcheson,2021,C+ISR+CRR,EO,USA,4,6,20,15,5,NO,NO
44,Ketcheson ,2018,CRR,EO,USA,2,5,53,36,17,NO,NO
45,Ketcheson ,2021,CRR,EO,USA,3,5,25,18,7,NO,NO
46,Kim ,2020,CRR,EO,Korea USA,18,42,17,11,6,NO,NO
47,Kozlowski ,2021,CRR,EO,USA,7,12,58,52,6,NO,NO
48,Lee,2020,CRR,EO,USA,20,40,18,9,8,NO,NO
49,Lee ,2022,CRR,EO,Irlanda USA,10,17,90,70,22,NO,NO
50,Li ,2022,C+ISR+CRR,EO,China,6,9,78,68,10,NO,NO
51,Liang ,2020,CRR,AR,China,6,17,,,,NO,NO
52,Liang X,2022,CRR,AR,China,5,17,,,,NO,NO
53,López-Valverde ,2021,CRR,AR,España,18,12,,,,NO,SI
54,Mahdi ,2022,CRR,EO,Canadá,6,14,18,15,3,NO,NO
55,Mason ,2021,C+ISR+CRR,EO,USA,18,45,200,86,114,SI,SI
56,McCoy ,2020,CRR,EO,USA,10,17,32312,16514,15798,NO,NO
57,Monteiro ,2022,CRR,AR,Brasil,3,18,,,,NO,NO
58,Moraes,2022,CRR,EO,Brasil UK,10,16,22,22,0,NO,NO
59,Nguyen ,2021,CRR,EO,Francia,7,17,50,50,0,NO,NO
60,Nichols ,2019,CRR,EO,USA,22,28,8,8,0,NO,NO
61,Oreskovic ,2020,CRR,EO,USA,6,10,12,8,4,NO,NO
62,Rech ,2022,CRR,AR,USA,2,18,,,,NO,NO
63,Reinders ,2019,C+ISR+CRR,AR,UK,4,21,,,,NO,NO
64,Roșca ,2022,CRR,EO,Rumania,8,14,28,20,8,NO,NO
65,Ruggeri ,2020,CRR,AR,USA,3,19,,,,NO,NO
66,Sansi ,2021,C+ISR+CRR,EO,Turquía,6,11,45,32,13,NO,NO
67,Spratt ,2018,C+ISR+CRR,EO,USA,15,27,12,7,5,NO,NO
68,Sung ,2021,CRR,EO,Taiwan,4,6,53,36,17,NO,NO
69,"Sung, ",2022,CRR,EO,USA Taiwan,6,18,68,68,0,NO,NO
70,Thomas ,2021,CRR,EO,Australia,4,7,34,21,13,NO,NO
71,Thompson,2022,CRR,AR,Australia,18,85,,,,NO,SI
72,Tomaszewski ,2021,CRR,EO,USA,18,55,38,27,11,NO,NO
73,Toscano ,2018,C+ISR+CRR,EO,Brasil,6,12,64,56,8,NO,NO
74,Tse ,2020,C+ISR+CRR,EO,China,8,12,27,23,4,NO,NO
75,Tse ,2019,CRR,EO,China USA,8,12,40,32,8,NO,NO
76,Waldron ,2022,CRR ,EO,USA,18,78,4370,3451,919,NO,SI
77,Wong,2022,CRR,AR,USA,3,41,,,,NO,NO
78,Woodman ,2018,CRR,EO,USA,5,13,13,11,2,NO,NO
79,Ye ,2019,CRR,EO,China,11,14,24,20,4,NO,NO
80,Yu & Jee ,2020,CRR,EO,Korea,20,29,35,35,0,NO,NO
81,Zhao ,2018,C+ISR+CRR,EO,China,5,8,41,29,12,NO,NO
82,Zhong ,2022,CRR,AR,China,5,17,,,,NO,SI